Power_On_Hours,Wear_Leveling_Count,Temperature,Reallocated_Sector_Ct,Media_Errors,Host_Writes,Write_Amplification,Bad_Block_Count,days_to_failure,health_status
38584,78,49.763359403535325,35,3,410406,3.0953142585588633,7,811,Degrading
27229,54,38.52262923014197,0,0,279465,2.4541476077363167,2,1541,Healthy
20910,40,35.29059019369533,4,0,199872,2.3316553894002294,1,2213,Healthy
15618,26,35.652784279568635,0,0,123714,1.909564723482987,1,2600,Healthy
13292,29,46.80519264984781,0,0,140240,1.8011826473213626,4,2629,Healthy
30553,54,31.971911128726056,12,0,301530,2.5682998141764464,3,1471,Healthy
28603,57,32.772150868177874,11,0,284045,2.744879413542535,7,1486,Healthy
44220,90,36.73162854302332,26,4,419892,3.3226986552245092,20,498,Critical
11371,24,36.78418105054423,1,0,118975,1.8135706138911587,3,2776,Healthy
39300,80,49.29371618172494,27,7,392418,3.0150940992827815,15,726,Degrading
3186,4,28.59769067849302,8,6,12319,1.1983494983495533,0,3556,Healthy
33030,64,45.7954553916433,1,0,302786,3.1020779445110795,7,1308,Degrading
7848,20,30.51928293281004,0,9,82578,1.6267507151867882,2,3097,Healthy
29195,63,33.51107208167264,0,1,303914,2.9356259196513292,0,1481,Degrading
3809,4,34.808848833371655,0,0,33662,1.5909292063702214,0,3405,Healthy
22361,44,33.160777312588586,0,0,223910,2.470340063294417,10,2032,Healthy
0,2,26.13539171175701,0,0,8129,1.0972228989240926,0,3578,Healthy
45576,88,36.24624818820518,53,8,441898,3.4664217691401635,21,417,Critical
24141,49,29.356260866901117,5,2,259646,2.4810000799664578,4,1760,Healthy
19110,42,40.44511718595176,8,0,199121,2.3197103399908245,0,2179,Healthy
5785,8,32.16767395336888,2,8,39649,1.317156818274864,0,3236,Healthy
46398,88,44.171763239954196,44,3,430769,3.552881267961565,15,444,Critical
25848,54,40.379585259383475,4,0,289484,3.011165859816565,5,1616,Healthy
41328,83,40.087210894801345,29,3,419423,3.091651036475241,17,551,Degrading
32101,66,44.616871109348025,25,0,330813,2.7969306728656207,8,1283,Degrading
0,5,26.840940601983224,2,0,17367,1.036082697567993,0,3438,Healthy
36526,68,47.59703233566816,12,4,361313,3.119128135826885,0,1025,Degrading
29183,61,32.452546363539454,6,10,292151,3.0545968338916087,6,1454,Healthy
38883,81,29.179824145334592,38,0,397445,3.411453433027788,12,756,Degrading
33557,67,38.88373406324936,9,0,333687,2.8884959542094157,6,1207,Degrading
46221,91,44.80023016355613,59,9,466609,3.2076887594972128,28,277,Critical
37516,72,35.049012423916736,30,4,372701,2.7148048542145093,8,1031,Degrading
12361,23,38.44544950049362,0,0,91633,1.9663641889136172,1,2749,Healthy
35120,72,35.96689997158637,4,0,358749,2.890396240951403,7,964,Degrading
18145,39,33.01465120586374,0,12,185524,2.3942372007759314,8,2200,Healthy
8900,16,28.98789472425381,0,6,102469,1.5271708212638753,0,3019,Healthy
40086,80,49.94521307506972,39,2,409563,3.167075807456672,16,688,Degrading
28626,54,31.517087483399127,0,0,275097,2.936054999226406,0,1646,Healthy
39079,83,44.54020953025187,42,14,414285,3.00013803158911,19,550,Critical
33228,67,39.12088850212074,20,8,343047,2.975871564163992,3,1251,Degrading
16066,34,35.44245131652142,5,0,167593,2.2013476748230647,0,2427,Healthy
13080,27,43.4143094271689,0,1,132395,2.164999608613094,0,2710,Healthy
31806,64,35.394356959524025,4,0,318057,2.419562952638729,8,1326,Degrading
43704,86,40.601427436846365,60,9,430216,3.755073429269059,11,402,Critical
8829,18,37.24550415905093,13,0,70342,1.5861414929175792,3,3015,Healthy
15370,27,33.95884927010016,0,2,124592,2.174290926686327,0,2682,Healthy
48679,96,43.22051198539532,94,18,490171,3.431609814278194,37,153,Critical
24567,46,43.819925679679585,2,0,242042,2.267595547286399,5,1872,Healthy
15241,30,32.23844519575115,0,12,150222,2.180609201802066,0,2528,Healthy
2459,2,30.157631472773673,0,0,34843,1.4745195214860272,0,3506,Healthy
15446,32,31.918682424032976,0,0,155911,2.0552353276093065,0,2488,Healthy
10630,22,36.62467085701194,1,0,107057,1.7790726876963752,4,2938,Healthy
17087,35,32.404736292586406,14,2,191550,1.974721157992569,1,2380,Healthy
38955,78,48.608336864484116,42,7,395229,3.19825253319985,14,736,Degrading
4700,6,35.38637951143487,8,0,27083,1.0681346501688451,10,3383,Healthy
45451,86,43.15253206824997,51,1,451477,3.6595763660336416,16,473,Critical
36115,70,28.905793596632076,14,2,368536,2.5426771232423806,8,1002,Degrading
19873,36,39.71494930341021,0,2,195071,2.273112007074026,1,2184,Healthy
16590,36,36.61465281684784,0,0,173708,2.2119237430752228,6,2456,Healthy
40193,82,39.2506473246331,25,5,402119,3.206730935073165,16,710,Degrading
1836,1,29.4434634707732,4,0,19764,1.326227370395527,2,3502,Healthy
26865,55,34.45801214501663,14,0,263925,2.2783069588133946,0,1825,Healthy
43954,84,38.52698436591716,63,13,437147,3.2805714704218043,19,487,Critical
34274,68,31.050109294120052,27,0,341283,2.740428294439245,5,1190,Degrading
43878,89,41.52954944283892,47,0,426039,3.586267651373151,21,493,Critical
22414,43,34.98371541548704,0,0,206828,2.000948110513473,9,2034,Healthy
17875,38,27.419854394472665,0,1,187277,2.3893282261791566,8,2164,Healthy
42483,81,50.08804935867196,28,0,441892,3.8462846051974173,25,515,Critical
40396,82,37.18537394823856,35,6,396989,3.058349823537883,8,711,Degrading
26340,55,27.53910974863666,0,5,259755,2.5029765616887314,4,1653,Healthy
10918,18,32.6167645119505,0,7,89967,1.5378032182002332,0,3001,Healthy
30219,60,36.219076657482724,0,0,286779,3.053944899003216,0,1433,Degrading
39829,76,46.9031203859319,15,6,382442,3.5958529139366693,4,816,Degrading
42404,85,37.97886727676516,42,8,441037,3.7990972941763417,15,459,Critical
30038,59,38.01747242376067,0,0,278107,2.8814676286578536,8,1489,Healthy
28385,57,34.765967369552286,0,0,282700,2.4011792391635716,3,1515,Healthy
2758,8,35.831440205862414,1,2,54984,1.1345107576082738,0,3424,Healthy
38479,71,37.02765971410393,22,4,370712,2.842491556982242,8,940,Degrading
6417,9,37.536811869686694,0,0,34266,1.4562904753114707,4,3299,Healthy
32406,62,34.690274559015094,9,1,318873,2.9503046833658164,0,1333,Degrading
4469,10,26.635933970942226,0,10,32506,1.5863716115087065,0,3337,Healthy
42569,85,38.01980131149524,47,6,428386,3.392901955601942,13,572,Critical
2858,7,25.626313248731037,13,0,42164,1.3572689021581261,1,3428,Healthy
37940,76,31.08891684727915,10,3,376309,3.0746302416603997,9,874,Degrading
46488,95,25.216865585568577,89,17,474978,3.722577945219675,29,95,Critical
3484,5,38.06712695535644,1,0,24540,1.2928801304790447,0,3431,Healthy
23936,52,37.59185620697494,26,0,252621,2.447853824203313,6,1775,Healthy
19535,42,37.937073326802505,0,0,201602,2.313685182402827,0,2143,Healthy
0,1,20.320417704969774,20,0,5659,1.463945480973106,0,3536,Healthy
19278,42,32.898144399941025,0,5,191181,2.5513926391344754,4,2195,Healthy
1832,5,37.437103514649046,12,1,27208,1.1679671854519758,0,3474,Healthy
36934,77,38.05701434262854,13,5,355245,2.8492616141015836,14,938,Degrading
32617,65,38.02642374123811,3,0,339481,2.9748527478327595,11,1198,Degrading
5566,14,33.99501422859736,4,10,54258,1.6890340710147635,0,3214,Healthy
29866,59,31.555543908647905,9,4,289107,2.5371013946069834,0,1472,Healthy
28699,60,34.745329325500656,10,6,315074,2.615733468522526,2,1421,Degrading
38965,75,41.993413689117155,27,0,382549,3.1528597560350327,9,891,Degrading
36213,71,40.19161919362842,28,4,366078,3.3553927638902867,8,1078,Degrading
16688,31,34.618745315054255,9,0,153555,1.8937775204986693,0,2588,Healthy
48663,98,35.66549724244714,97,22,512604,3.7584591843380046,36,43,Critical
18047,38,26.304562859452865,0,0,169488,1.9250243283925494,0,2370,Healthy
29990,56,27.126399281963963,0,8,291003,3.1942506926006105,0,1490,Healthy
30860,61,43.95448378059601,15,0,298270,2.6485509087853814,9,1566,Healthy
34734,70,44.46445975268547,2,2,346672,2.5958950134376773,6,1063,Degrading
30101,60,45.29128185898554,0,0,301729,2.9250451011976684,1,1502,Healthy
27451,57,30.279606442176927,7,0,297116,2.6399028848957617,0,1456,Healthy
43267,88,37.766747241238825,58,3,435848,3.422962901203642,17,378,Critical
36314,71,39.63895356689908,6,5,372414,3.2691572164078533,7,981,Degrading
13440,25,28.415649684073415,0,0,146533,1.749048602897373,0,2697,Healthy
19423,42,32.704318240416,2,3,189922,2.1219284710325073,4,2111,Healthy
8571,24,32.380943230393115,3,0,95896,1.6098926585228794,0,2945,Healthy
27611,54,35.92062713206511,9,4,282375,2.5296514028896477,0,1604,Healthy
21648,45,32.34110532001715,22,9,218806,2.203599583111805,1,2019,Healthy
23019,44,30.59643874271831,0,0,230846,2.6730353856863074,2,1966,Healthy
43618,88,40.38317822317074,46,9,432432,3.415624051577472,24,410,Critical
32833,64,42.310029593226716,11,0,337582,2.7083214447029365,14,1285,Degrading
40661,79,31.883568539562855,27,10,405520,3.361546866871608,9,729,Degrading
49659,97,37.816972410942235,88,20,512385,3.4452970989372007,39,102,Critical
48621,96,45.4149335672389,101,10,481010,3.6243614364560672,34,173,Critical
44736,89,37.13674906612458,54,8,446813,3.6891646396660973,16,434,Critical
23392,49,34.25583339154721,0,0,245510,2.4870831822444397,0,1913,Healthy
16986,38,31.86781176976497,13,8,183953,1.9835294664118068,2,2379,Healthy
32079,61,42.31479210459748,0,0,322313,2.6835162976422495,7,1376,Degrading
26645,49,31.73782267882627,8,1,259833,2.579474308892165,5,1812,Healthy
13287,27,27.77130664683437,2,0,107373,1.8788828292205575,5,2707,Healthy
5472,10,30.65453952174235,3,1,62454,1.3897042092018206,2,3238,Healthy
38586,74,40.836521966902595,15,6,370523,2.9027639943790136,9,841,Degrading
29621,57,30.644560235081624,16,10,298134,2.6621293661063947,3,1500,Healthy
3529,8,31.96218672936086,6,3,58695,0.99709579256209,0,3461,Healthy
29744,59,40.78360704616601,22,8,317361,2.8532340757522077,3,1404,Degrading
4954,5,33.16341932664297,1,7,58223,1.9187387918366217,0,3266,Healthy
17908,34,33.43334694680932,0,0,166863,2.0880116184871076,0,2352,Healthy
10144,20,37.49232369974962,0,2,130804,1.792951586648713,0,2871,Healthy
30658,61,32.19053587716057,18,2,327545,2.7305341275315786,0,1352,Degrading
21922,41,38.078389595405426,17,5,205490,2.2835439792785897,0,2089,Healthy
19534,34,30.242622234237693,0,0,190606,2.1749675842042024,0,2229,Healthy
48312,96,45.29813264238884,55,15,478452,3.6306219915651794,33,214,Critical
6362,14,30.380786951571878,0,0,65581,1.573911789711867,0,3100,Healthy
18013,36,35.78656605026048,9,9,164128,1.8691482418469019,0,2389,Healthy
41352,80,39.285412599039624,25,10,407125,2.846244456648245,18,686,Degrading
34292,73,35.789584076312195,1,0,348491,2.9738803607065027,5,1032,Degrading
4798,3,26.687768555995568,9,8,23512,1.2607868702885487,0,3396,Healthy
34367,66,36.91020510901934,7,2,348229,2.701056493844423,4,1083,Degrading
44649,91,37.331734381384756,66,12,448968,3.539751342703257,15,330,Critical
27253,51,43.27814927806176,6,0,282981,2.340838617054773,0,1636,Healthy
47455,92,43.40372513925174,75,17,503949,3.4321665463487334,22,113,Critical
49984,100,49.74194024980222,116,17,484165,3.678592118345075,39,0,Critical
48442,96,41.9787543304823,96,16,485094,3.531742404429426,36,120,Critical
13663,25,32.69031657418778,4,1,148342,1.5998076462202544,0,2662,Healthy
18601,34,49.554147736530254,12,1,192721,2.223462082029101,3,2258,Healthy
29842,56,35.05901788758727,15,13,288687,3.025235106747261,1,1585,Healthy
7822,11,24.446260470136565,0,4,76748,1.6387049075397633,3,3174,Healthy
37445,72,40.89027559907655,29,7,374734,2.8977794285696623,9,922,Degrading
20353,39,33.35283695674672,0,0,184835,2.261516319055665,0,2137,Healthy
39546,79,37.13833357985983,18,0,389623,3.3608726985810287,8,745,Degrading
46006,90,29.041798199291204,63,5,453654,3.5207528929228813,30,303,Critical
6153,14,42.166650931524906,0,0,63351,1.2862310326529105,4,3226,Healthy
40757,82,51.83788527008059,31,3,401723,2.856081087903477,8,703,Degrading
30851,62,41.071058866124744,0,0,326034,2.7192991622453744,0,1373,Degrading
15179,31,34.10142873268916,9,0,160578,1.9627254433763586,1,2488,Healthy
26259,46,37.54935881080934,0,1,247590,2.223457697723824,6,1853,Healthy
31922,64,34.1905458905021,9,5,307636,2.351136863062342,1,1262,Degrading
19725,36,31.714821760762177,6,0,205944,2.069929187822738,2,2329,Healthy
16367,30,28.44275700393078,0,5,135756,2.2667882845807745,0,2591,Healthy
43632,86,30.182909443197257,52,2,433769,3.3819303309507918,8,424,Critical
27346,59,34.63686260301548,6,4,285757,2.9106935261979783,6,1499,Healthy
25827,52,40.11722772222877,0,0,263203,2.700973953006948,0,1767,Healthy
23576,42,30.437472466134487,1,0,227239,2.6772834306545326,1,1985,Healthy
47932,94,36.31702927519407,78,17,471442,3.68557472032706,41,145,Critical
31428,66,31.284076112497942,0,0,315637,2.883158442798588,9,1326,Degrading
34296,70,37.26652307772003,20,3,337597,2.863315821776321,7,1092,Degrading
22365,41,42.26381721050824,0,0,225539,2.466872829960797,0,1986,Healthy
21133,44,35.183680930888194,2,3,212686,2.2978259255861593,4,2052,Healthy
34673,73,30.716946964364222,5,6,374006,3.066950608187142,5,1028,Degrading
1070,0,33.233510854999004,0,0,0,1.316510536367917,3,3612,Healthy
585,7,29.056569132722665,0,0,22026,1.2366795744695405,0,3583,Healthy
19870,39,34.427182334835614,7,6,190306,2.2624409610213836,0,2258,Healthy
10775,24,27.63429203195184,0,3,121258,1.917879878328264,10,2725,Healthy
25029,53,39.06335328923349,0,8,254295,2.419567679180748,0,1776,Healthy
7981,20,29.757550009128217,0,1,97435,1.7461986953757092,6,2938,Healthy
37603,77,38.25858117875531,32,2,368895,3.2658543997057707,0,813,Degrading
14173,31,27.29545494675699,7,2,134713,1.8243433501704374,6,2511,Healthy
40378,79,45.46645404024606,13,3,410675,3.602381627950379,15,683,Degrading
28619,59,28.322326296342023,16,0,288046,2.709471992535618,12,1612,Healthy
19545,38,37.77317191912465,0,5,193882,2.0386752133945407,4,2286,Healthy
17807,35,37.348102040009444,5,8,172615,2.197103211730722,0,2377,Healthy
38597,81,37.56061156565252,29,9,383088,3.204155615195484,17,834,Degrading
43171,87,35.996230498153885,20,14,426531,3.184046025064323,21,489,Critical
32985,68,42.28492322774882,30,3,329953,2.681263099201066,0,1232,Degrading
15187,32,41.00913820627019,0,0,155859,2.2822872381733106,0,2414,Healthy
48609,96,33.517174058967534,79,22,467276,3.502268482377047,28,187,Critical
47349,98,36.01121073592151,93,13,499086,3.8579717193002137,29,43,Critical
19052,38,25.238858362053378,0,5,185946,2.2115465901728943,2,2196,Healthy
4789,12,37.6229751197765,0,4,54147,1.200514807455665,4,3360,Healthy
16300,28,32.054522166386086,3,8,163700,1.80935534007846,8,2509,Healthy
12399,26,32.22006030679953,11,0,132196,1.6288209802105988,0,2720,Healthy
4947,9,22.89892938191844,0,8,41388,1.434725216450786,0,3358,Healthy
13391,23,33.73765687646407,3,0,113173,1.666946989488941,0,2741,Healthy
4831,5,38.7001470519842,10,2,35788,1.0762318272909608,1,3464,Healthy
37577,72,37.56886311077826,24,3,379688,3.5175679823089356,4,915,Degrading
45874,90,49.66037648408708,45,14,437499,3.115291932627578,12,398,Critical
3384,5,34.93800290098522,0,0,32257,0.976081235282021,0,3395,Healthy
46607,91,48.017227301220046,55,9,458631,3.6263174517414125,22,270,Critical
34421,67,33.79015942620609,1,0,372058,3.1617716908335676,0,1109,Degrading
40759,84,32.55786488906622,19,10,414368,3.484364342623251,3,583,Degrading
42955,87,41.00160714772761,45,11,449973,3.1208642408552034,20,487,Critical
7925,19,32.35305729151539,17,0,93876,1.49220188325606,0,2998,Healthy
28860,58,33.253656810101816,17,12,288016,2.3433968307113227,12,1443,Degrading
35107,67,42.097601420143654,11,6,373265,3.0057325905792975,1,1077,Degrading
6352,12,34.684100857261605,8,0,71803,1.2673866291091207,0,3127,Healthy
39592,77,48.07072575707749,35,0,404761,3.4307948991362434,12,767,Degrading
24593,50,31.722560162314338,0,0,234546,2.400031735025779,7,1865,Healthy
44812,92,41.49856481345197,55,12,445289,3.4156451912770405,20,349,Critical
51205,95,43.07038076886018,101,13,492347,3.6560508132262064,40,0,Critical
37426,74,36.18260674626798,36,5,376498,3.2861637589132644,9,1034,Degrading
26524,52,30.8746411131784,17,4,254573,2.399121572531713,3,1773,Healthy
45952,93,43.00292284132673,60,20,465213,3.4520915340301377,18,305,Critical
11045,18,28.09873226460683,0,0,101283,1.8860908860686667,0,2957,Healthy
42199,83,42.85133700607563,20,7,410387,2.970176061481892,19,625,Degrading
34122,70,30.11072055663605,21,0,352843,3.0617285839635198,2,1132,Degrading
3469,11,28.583468199177695,0,0,49107,1.3133549188338123,0,3290,Healthy
46060,89,42.638545391018134,57,12,453652,3.137683542752743,26,390,Critical
42803,84,44.65421799454422,34,0,435416,3.104797507564506,21,558,Critical
2576,4,35.84428229280649,20,5,21962,1.5063627365361147,0,3508,Healthy
39605,74,30.79720987819366,14,8,379956,3.050529220636051,11,843,Degrading
49922,100,44.38246850993379,100,20,517357,3.5879284328948216,37,60,Critical
47085,91,44.981652517616325,83,7,479522,3.635050297646878,25,176,Critical
35630,74,34.39653696664581,10,5,368111,3.1336430592368534,8,1090,Degrading
47065,100,34.093287682747075,80,7,485848,3.6325224547790227,38,90,Critical
3712,5,28.26159613897896,2,0,14688,1.4545156247243225,3,3436,Healthy
14614,28,38.827678284428586,0,0,138413,1.9849122741029945,1,2584,Healthy
10361,20,24.36483952118155,0,0,102834,1.6786832647009158,0,2894,Healthy
13305,29,27.70901078507836,0,0,133382,2.1697721636410163,0,2622,Healthy
17464,34,29.18430829427114,6,0,167726,2.1168343341446523,1,2480,Healthy
5777,15,27.207556615800183,0,0,68101,1.3230248556069582,0,3140,Healthy
35001,67,38.515789108529404,14,0,330817,3.0370624372223167,4,1172,Degrading
33757,71,35.29417100264802,28,2,381365,2.948871158880608,0,928,Degrading
10165,23,40.09398673553049,22,0,101165,1.387719529795885,7,2898,Healthy
5769,14,26.868983955024305,0,2,66307,1.629135148076136,0,3136,Healthy
7595,16,28.864029404090285,0,0,83297,1.5963243328549874,0,3142,Healthy
32955,65,34.92440658379371,16,4,340134,3.1527153645054713,8,1190,Degrading
16377,35,28.96377678857864,0,0,178531,2.0405826646906773,0,2304,Healthy
37984,73,47.30171927005016,6,10,376634,2.981565807370142,3,946,Degrading
45751,92,58.73724570432585,37,20,452428,3.533980073916656,24,313,Critical
12123,21,28.301811601670376,0,6,113867,2.07951979559085,0,2792,Healthy
11400,25,41.61237741554854,0,3,119447,2.0515076686392244,0,2807,Healthy
17759,34,36.925940930573454,0,0,184010,2.1289776931389524,3,2361,Healthy
47187,98,46.99695658321529,78,15,465285,3.5299065799029203,39,119,Critical
46305,91,33.877840620228774,72,13,472591,3.2089045967488783,29,297,Critical
37186,76,45.116802505337326,9,13,384910,3.0306317849413174,14,875,Degrading
13079,26,28.535796833345696,0,1,152943,1.8665500484794115,0,2681,Healthy
20067,45,34.86720818490985,14,0,222356,2.3245718938818536,2,2104,Healthy
32634,67,38.90388615236698,15,3,319394,2.636956964020882,4,1256,Degrading
36263,74,36.327621921824566,8,4,372010,2.7988145777362563,9,948,Degrading
40871,82,36.033828792539055,29,7,406353,2.942742310236147,12,619,Degrading
29534,59,33.42069428435484,4,8,275944,2.3646557488384583,0,1572,Healthy
10384,19,38.25967989751493,0,0,91516,1.8195377553229026,2,2863,Healthy
12927,30,35.278952514918,0,0,126759,1.8265650446564377,2,2513,Healthy
50281,98,39.03750471614681,82,18,476505,3.663843484328296,39,98,Critical
26902,57,33.825360101003156,8,7,261614,2.4347702481166196,0,1616,Healthy
21815,43,33.30408441531056,0,0,203090,1.9929593485833792,0,2146,Healthy
12587,26,32.40581451768567,2,3,102997,2.1189545225680413,1,2854,Healthy
35498,66,35.28139702423481,14,3,351267,2.8471693143610453,11,1199,Degrading
12345,25,38.60654662445233,0,0,107404,1.9798656279678368,0,2745,Healthy
37726,70,44.01705716217079,11,4,360821,3.277399830672236,13,1004,Degrading
9981,23,22.87767909357003,0,0,108329,1.5147948107239513,2,2844,Healthy
3365,7,25.177931363209346,3,0,36991,1.2915385212443966,0,3345,Healthy
19124,39,31.87148536612089,0,0,179135,2.4812254177235946,1,2229,Healthy
12742,29,31.543643615902848,8,0,138318,2.1301466526938957,0,2627,Healthy
11958,22,27.777579573529582,8,0,83969,1.6902332662020454,0,2775,Healthy
26749,50,38.341616216673295,11,0,263273,2.363578927898322,0,1766,Healthy
1968,5,28.486969681921558,0,3,15168,1.4969066631832835,0,3420,Healthy
21326,38,36.69562614265186,11,0,217475,2.3246166717378345,0,2190,Healthy
12390,28,41.854540428398096,0,3,158138,1.7530815195676748,0,2605,Healthy
17658,33,37.94307203004931,6,7,168096,2.1584012145855134,0,2462,Healthy
4746,12,33.2845525181673,12,0,68093,1.7617542047361434,3,3328,Healthy
22371,41,37.93516947084057,0,3,201368,2.1110122414993375,4,2116,Healthy
2575,2,36.69806273883758,7,0,18319,0.9073304784662855,0,3543,Healthy
26861,53,36.57700502745227,5,9,293584,2.4157463157059587,2,1655,Healthy
16250,33,37.26918648853896,5,0,172769,1.6808161383092384,3,2414,Healthy
40791,81,37.34364410527561,28,9,384718,3.4229996344882814,20,793,Degrading
26583,53,33.67574478993045,7,4,276132,2.416853853164643,6,1640,Healthy
4613,10,31.306473741667233,0,3,86769,1.5153742236113463,0,3261,Healthy
17847,38,32.828928569109586,0,0,208548,1.6742541383843506,7,2241,Healthy
15529,29,39.29919033288946,12,0,159479,1.833967051775702,2,2508,Healthy
35733,71,38.8144202701796,31,3,338487,3.0414235235525906,16,1062,Degrading
42201,84,51.27302493454263,31,3,425832,3.560996501852606,28,567,Degrading
39732,82,35.254316761609964,20,11,419171,2.9410227978009766,21,673,Degrading
17721,40,36.64191978204369,0,0,190500,2.03722012032146,0,2341,Healthy
17578,31,41.455864961224776,0,8,172465,2.000981448952301,0,2430,Healthy
29139,59,34.938504117048154,1,0,292490,2.248366305631698,0,1488,Healthy
43924,84,32.05549849870079,41,19,436378,3.443734024819166,22,429,Critical
10016,14,22.530633078809366,15,0,72100,1.355030855139673,0,3072,Healthy
3604,10,36.53839602456332,2,5,40341,1.233623765599686,0,3438,Healthy
28088,58,31.804820304628155,0,0,271431,2.4633617158574013,3,1620,Healthy
4326,12,28.779880452201326,5,2,42048,1.380697851782422,2,3281,Healthy
29219,59,42.70226520008383,4,0,298765,2.6166241515738227,0,1492,Healthy
4257,7,31.584666619593555,0,0,21209,1.3209693116621382,2,3463,Healthy
30541,57,42.22586791658818,8,7,299737,2.365681790047537,11,1505,Healthy
30831,61,29.6693731027137,0,3,303999,2.589899283349683,4,1489,Degrading
10746,23,26.18609708922096,0,0,107904,1.6592843261008834,0,2830,Healthy
21666,50,32.95143922503827,3,0,258604,2.7876934513704352,2,1916,Healthy
50093,97,37.15794362301238,90,7,481091,3.6633096090305233,34,136,Critical
26724,57,42.47906501913776,1,0,273752,2.573992675948122,0,1609,Healthy
5031,10,26.404618254701553,11,0,43550,1.5702099838093067,5,3248,Healthy
48766,91,37.44097716566189,75,9,461669,3.5163252895165287,24,241,Critical
19886,43,31.32645222586127,17,6,207665,2.292126945106249,2,2159,Healthy
6633,16,20.315779570447305,5,0,60337,1.875801714784596,0,3103,Healthy
30833,65,42.40568988042458,0,0,337244,3.3870289819072337,0,1165,Degrading
37452,74,36.62091351729872,21,11,379929,2.8402032652337654,15,950,Degrading
36489,78,35.35954180895589,11,13,352770,2.6680812885689753,8,967,Degrading
14053,29,33.47165089390334,0,0,145140,1.7627121760024225,0,2643,Healthy
